,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
266,Airai,1,TL,1570318237,32,-8.93,125.41,297.963,2.846
267,Klaksvik,93,FO,1570317701,81,62.23,-6.59,283.15,14.9
268,Broome,54,GB,1570317640,81,52.47,1.45,286.48,2.6
269,Hayden,75,US,1570318240,44,47.77,-116.79,287.59,5.1
270,Batagay-Alyta,100,RU,1570318242,41,67.8,130.41,263.173,0.827
271,Calabozo,83,VE,1570318243,85,8.92,-67.43,298.493,1.74
272,Tibiri,93,NE,1570318245,58,13.57,7.05,300.183,4.28
273,Nouadhibou,0,MR,1570318246,88,20.93,-17.03,293.15,7.2
274,Havre-Saint-Pierre,20,CA,1570317570,45,50.23,-63.6,281.15,3.6
275,Mount Isa,35,AU,1570318248,13,-20.73,139.49,300.15,6.7
276,Campbell River,20,CA,1570318126,54,50.02,-125.24,288.15,2.1
277,Goulburn,100,AU,1570318252,63,-34.75,149.72,293.15,6.649
278,Miandrivazo,51,MG,1570318253,61,-19.53,45.46,297.003,1.66
279,Lerwick,35,GB,1570318087,76,60.15,-1.15,283.15,11.8
280,Namibe,51,AO,1570318255,82,-15.19,12.15,292.453,6.24
281,Apache Junction,1,US,1570318257,21,33.41,-111.55,308.15,2.1
282,Zemio,100,CF,1570318258,96,5.02,25.13,294.083,0.89
283,Victoria,75,BN,1570318260,78,5.28,115.24,301.15,2.6
284,Cayenne,0,GF,1570318261,94,4.94,-52.33,298.15,2.43
285,Orchard Homes,90,US,1570318262,50,46.86,-114.05,285.15,5.1
286,Calbe,40,DE,1570318264,93,51.9,11.78,280.37,1.5
287,Beloha,0,MG,1570318265,62,-25.17,45.06,296.833,5.6
288,Los Llanos de Aridane,40,ES,1570318266,78,28.66,-17.92,296.15,7.7
289,Ancud,90,CL,1570318268,76,-41.87,-73.83,282.15,4.1
290,Palmares do Sul,100,BR,1570318269,96,-30.26,-50.51,289.82,3.126
291,Porosozero,11,RU,1570318270,96,62.72,32.71,268.103,1.77
292,Chifeng,100,CN,1570318272,38,42.27,118.96,280.993,2.19
293,Miri,96,NG,1570318273,88,10.31,9.75,294.203,1.37
294,Kraluv Dvur,90,CZ,1570318275,100,49.95,14.03,280.93,3.1
295,Lompoc,1,US,1570318277,38,34.64,-120.46,298.71,5.1
296,Mujiayingzi,100,CN,1570318278,47,42.12,118.78,279.893,2.45
297,Vigrestad,0,NO,1570318280,69,58.57,5.7,280.37,3.6
298,Chinsali,0,ZM,1570318281,69,-10.55,32.07,292.043,2.93
299,Caledon East,75,CA,1570318190,71,43.87,-79.87,286.48,5.1
300,Severo-Kurilsk,100,RU,1570318283,93,50.68,156.12,279.153,13.09
301,Tsaratanana,34,MG,1570318285,75,-16.8,47.65,292.503,4.87
302,Libreville,40,GA,1570318287,83,0.39,9.45,300.15,3.6
303,Bar Harbor,1,US,1570318250,75,44.39,-68.2,281.48,1.2
304,Kodiak,1,US,1570318290,46,39.95,-94.76,294.15,5.7
305,Mbanza-Ngungu,98,CD,1570318292,73,-5.25,14.87,298.823,2.26
306,Bowen,23,AU,1570318293,57,-20.01,148.25,299.82,3.6
307,Ilhabela,0,BR,1570318221,85,-23.78,-45.36,295.923,1.52
308,Kamenka,16,MD,1570318297,91,48.03,28.7,275.93,1.24
309,Sisimiut,100,GL,1570318072,96,66.94,-53.67,274.083,13.53
310,Norman Wells,75,CA,1570318299,81,65.28,-126.83,279.15,3.1
311,Chara,20,GR,1570318301,76,39.42,22.43,291.15,2.1
312,Golden,1,US,1570318302,25,39.76,-105.22,293.15,1.5
313,Luena,78,AO,1570318304,85,-11.78,19.91,289.353,0.18
314,Beziers,0,FR,1570318305,67,43.35,3.22,290.37,3.6
315,Mount Gambier,90,AU,1570318307,93,-37.83,140.78,287.15,7.7
316,Avera,90,US,1570318308,69,33.19,-82.53,299.15,4.1
317,Tuim,75,RU,1570318310,88,54.34,89.93,279.613,2.577
318,Okhotsk,1,RU,1570318311,46,59.36,143.24,271.573,6.53
319,Okha,99,RU,1570318312,64,53.59,142.95,279.263,4.26
320,Ust-Kuyga,100,RU,1570318314,81,70.0,135.55,265.983,2.07
321,Tarragona,90,ES,1570318316,88,41.12,1.25,294.15,2.1
322,Hay River,75,CA,1570318317,81,60.82,-115.79,282.15,2.6
323,Hilo,1,US,1570318319,55,19.71,-155.08,304.15,4.1
324,Tazovskiy,100,RU,1570318320,87,67.47,78.7,274.233,5.84
325,Sur,45,OM,1570318321,55,22.57,59.53,300.703,7.83
326,Bilibino,73,RU,1570318323,93,68.06,166.44,262.323,2.82
327,Richards Bay,2,ZA,1570318324,88,-28.77,32.06,294.253,9.72
328,Saquarema,0,BR,1570318325,69,-22.93,-42.51,300.15,2.1
329,Madingou,66,CG,1570318327,81,-4.17,13.56,297.923,1.4
330,Torbay,40,CA,1570318329,86,47.66,-52.73,278.15,5.7
331,Kavaratti,76,IN,1570318330,67,10.57,72.64,300.743,0.39
332,Chapais,1,CA,1570318332,86,49.78,-74.86,277.15,1.0
333,Boquira,75,BR,1570318333,44,-12.82,-42.73,298.873,3.23
334,Male,100,UA,1570318335,86,50.74,33.7,280.823,5.29
335,Fortuna,20,US,1570318336,52,40.6,-124.16,294.26,6.2
336,Plouzane,63,FR,1570318338,93,48.38,-4.62,289.15,6.7
337,Adrar,0,DZ,1570318339,20,27.87,-0.29,297.15,6.7
338,Galle,100,GN,1570318340,96,10.08,-12.83,294.763,0.49
339,Bourail,73,NC,1570318342,47,-21.57,165.5,298.813,0.33
340,Berlevag,100,NO,1570318343,86,70.86,29.09,278.663,7.66
341,Lagunas,77,PE,1570318345,63,-5.23,-75.68,300.523,0.87
342,Colac,71,AU,1570318346,84,-38.34,143.59,292.04,6.26
343,Russell,1,US,1570318076,37,38.9,-98.86,293.71,3.1
344,Dvorichna,100,UA,1570318349,94,49.85,37.68,284.133,4.65
345,Srednekolymsk,10,RU,1570318350,75,67.46,153.71,267.483,1.76
346,Ulladulla,100,AU,1570318352,82,-35.36,150.48,290.37,3.1
347,Rumphi,16,MW,1570318353,79,-11.02,33.86,290.513,1.93
348,Chokurdakh,99,RU,1570318354,84,70.62,147.9,266.623,5.33
349,Mayumba,97,GA,1570318356,89,-3.44,10.65,297.953,5.18
350,Baraboo,90,US,1570318357,100,43.47,-89.74,286.15,5.1
351,Cabinda,75,AO,1570318359,88,-5.56,12.19,298.183,8.02
352,Soure,37,PT,1570318360,93,40.06,-8.63,288.71,1.5
353,Ushumun,59,RU,1570318362,66,52.78,126.54,278.273,2.79
354,San Pedro,0,AR,1570318363,63,-33.68,-59.66,284.82,1.43
355,Mabaruma,100,GY,1570318365,96,8.2,-59.78,296.873,1.15
356,Mersing,16,MY,1570318366,87,2.43,103.84,297.453,0.64
357,Babati,100,TZ,1570318367,96,-4.21,35.75,286.013,3.9
358,Kortkeros,53,RU,1570318369,100,61.81,51.56,272.15,3.0
359,Nicoya,75,CR,1570318321,94,10.15,-85.45,298.15,1.0
360,Podgornoye,91,RU,1570318372,98,57.79,82.64,281.383,1.876
361,Shumskiy,100,RU,1570318373,96,54.83,99.13,276.663,2.324
362,Fukue,20,JP,1570318374,64,35.03,136.69,297.15,9.8
363,Bara,89,NG,1570318376,86,10.41,10.6,295.803,1.68
364,Escarcega,93,MX,1570318377,96,18.61,-90.75,297.863,1.311
365,Terney,0,RU,1570318378,45,45.05,136.61,281.863,1.95
366,Oistins,20,BB,1570318143,78,13.07,-59.53,301.15,5.1
367,Wanning,75,AT,1570318381,87,48.64,13.53,280.37,2.6
368,Shima,20,JP,1570318382,64,34.34,136.82,297.15,9.8
369,Huari,81,PE,1570318384,78,-9.35,-77.17,280.373,1.721
370,Chulucanas,74,PE,1570318385,71,-5.1,-80.16,290.553,1.812
371,Ardmore,90,US,1570318147,58,34.99,-86.85,306.15,8.7
372,Solnechnyy,54,RU,1570318388,47,50.72,136.64,281.693,1.19
373,Biak,38,ID,1570318390,79,-0.91,122.88,299.693,5.701
374,Axim,72,GH,1570318391,97,4.87,-2.24,296.173,1.349
375,Luderitz,0,NA,1570318392,87,-26.65,15.16,286.15,3.6
376,Antsohihy,0,MG,1570318394,65,-14.88,47.99,299.523,7.28
377,Port Macquarie,73,AU,1570318219,60,-31.43,152.91,294.82,5.1
378,Katsuura,75,JP,1570318396,73,33.93,134.5,296.15,6.2
379,Saint Anthony,40,US,1570318398,52,43.97,-111.68,282.15,3.1
380,Carbonia,12,IT,1570318399,82,39.17,8.53,292.59,2.6
381,Dingle,77,PH,1570318401,83,11.0,122.67,299.823,3.1
382,Jinchang,100,CN,1570318402,85,38.52,102.19,277.473,1.73
383,Kitami,40,JP,1570318403,87,43.8,143.9,282.15,2.1
384,Lata,98,IN,1570318405,49,30.78,78.62,273.093,1.598
385,Keuruu,75,FI,1570318406,92,62.26,24.71,273.15,1.5
386,Yermakovskoye,90,RU,1570318408,83,53.28,92.4,280.713,2.588
387,Roald,0,NO,1570318409,93,62.58,6.12,275.15,3.1
388,Port-Gentil,75,GA,1570318410,88,-0.72,8.78,299.15,5.7
389,Coxim,61,BR,1570318412,79,-18.5,-54.75,297.063,3.32
390,Nara,75,JP,1570318413,77,34.68,135.8,296.15,0.5
391,Durazno,38,UY,1570318346,75,-33.38,-56.52,281.983,2.6
392,Manggar,94,ID,1570318415,75,-2.88,108.27,299.573,2.92
393,Jalor,0,IN,1570318417,69,25.35,72.62,299.203,2.35
394,Ketchikan,75,US,1570318144,87,55.34,-131.65,285.15,7.7
395,Ormara,37,PK,1570318420,80,25.21,64.64,298.023,0.38
396,Imeni Poliny Osipenko,100,RU,1570318421,56,52.42,136.49,278.763,1.81
397,Skibbereen,40,IE,1570318422,87,51.55,-9.27,283.15,4.6
398,Maniitsoq,94,GL,1570318424,86,65.42,-52.9,275.023,17.86
399,Mulchen,95,CL,1570318425,85,-37.72,-72.23,280.213,1.54
400,Sorong,48,ID,1570318427,76,-0.86,131.25,300.973,2.71
401,Gushikawa,1,JP,1570318428,83,26.35,127.87,300.15,3.1
402,Mbigou,63,GA,1570318429,99,-1.9,11.91,294.703,0.74
403,Novo Aripuana,4,BR,1570318431,67,-5.12,-60.38,299.383,0.504
404,Ostrovnoy,100,RU,1570318432,80,68.05,39.51,274.253,7.67
405,Novopokrovka,90,UA,1570318433,100,49.84,36.56,281.15,6.0
406,Kilindoni,0,TZ,1570318435,79,-7.91,39.67,299.003,6.233
407,Ahipara,89,NZ,1570318436,87,-35.17,173.16,293.71,4.54
408,Akdagmadeni,52,TR,1570318437,58,39.66,35.88,288.273,2.38
409,Jalu,0,LY,1570318439,67,29.03,21.55,293.283,4.94
410,Nyurba,100,RU,1570318440,98,63.29,118.35,274.743,2.41
411,Ust-Tsilma,96,RU,1570318442,94,65.44,52.15,271.723,2.12
412,Talnakh,90,RU,1570318443,95,69.49,88.39,273.15,4.0
413,Hovd,0,NO,1570318445,74,63.83,10.7,275.37,4.1
414,Karla,40,EE,1570318446,56,59.37,24.93,278.15,4.1
415,Hofn,100,IS,1570318448,99,64.25,-15.21,277.323,5.05
416,Beaverlodge,90,CA,1570318449,46,55.21,-119.43,283.15,11.8
417,Hermiston,1,US,1570318451,28,45.84,-119.29,295.15,1.5
418,Lavrentiya,100,RU,1570318452,96,65.58,-170.99,274.073,10.31
419,Srandakan,53,ID,1570318453,84,-7.94,110.25,296.853,2.1
420,Alihe,4,CN,1570318455,61,50.57,123.73,279.063,1.82
421,Lasa,75,CY,1570318456,69,34.92,32.53,298.15,6.2
422,Ambunti,98,PG,1570318457,83,-4.22,142.82,299.143,1.385
423,Abu Samrah,0,SY,1570318459,53,35.3,37.18,291.193,3.12
424,Flinders,94,AU,1570318460,82,-34.58,150.85,293.15,3.1
425,Vao,88,EE,1570318461,77,59.1,26.19,275.873,2.67
426,Mercedes,33,UY,1570318463,80,-33.25,-58.03,282.633,2.199
427,Pavlodar,0,KZ,1570318464,100,52.28,76.96,277.15,2.0
428,Moussoro,99,TD,1570318465,68,13.64,16.49,299.593,5.129
429,Alenquer,60,BR,1570318467,88,-1.95,-54.74,299.15,1.0
430,Bandarbeyla,45,SO,1570318468,79,9.49,50.81,298.063,5.01
431,Devonport,100,AU,1570318469,91,-41.18,146.36,286.48,0.45
432,Kuala Terengganu,75,MY,1570318471,94,5.33,103.14,298.15,1.5
433,Duldurga,100,RU,1570318472,59,50.67,113.59,277.373,5.08
434,Kuppam,99,IN,1570318473,87,12.75,78.34,293.503,1.35
435,Iqaluit,75,CA,1570318475,64,63.75,-68.52,273.15,3.1
436,San Policarpo,21,PH,1570318476,74,12.18,125.51,301.603,3.21
437,Heswall,90,GB,1570318477,100,53.33,-3.1,286.15,6.2
438,Dunedin,68,NZ,1570318219,41,-45.87,170.5,286.48,5.81
439,Sunbury,40,AU,1570318480,35,-37.58,144.73,298.71,9.3
440,Zakharovo,100,RU,1570318481,91,54.37,39.28,278.253,7.1
441,Shitanjing,100,CN,1570318483,76,39.23,106.34,279.26,1.34
442,Bambous Virieux,75,MU,1570318484,94,-20.34,57.76,295.15,2.6
443,Sokoto,69,NG,1570318485,68,13.06,5.24,300.503,3.99
444,Iquique,90,CL,1570318487,72,-20.22,-70.14,288.15,6.2
445,Dalvik,0,SE,1570318488,100,57.79,14.13,270.93,0.7
446,Tautira,20,PF,1570318490,74,-17.73,-149.15,301.15,7.7
447,Ambon,90,FR,1570318491,100,47.55,-2.56,289.26,3.1
448,Sars,95,RU,1570318492,56,56.55,57.14,282.483,4.59
449,Port Hardy,40,CA,1570318205,82,50.7,-127.42,286.15,2.1
450,Camacha,40,PT,1570318495,78,33.08,-16.33,296.15,3.1
451,Rantepao,73,ID,1570318496,85,-2.97,119.9,292.183,1.14
452,Nurobod,0,UZ,1570318498,76,40.91,69.8,286.15,1.0
453,Lebanon,1,US,1570318261,50,40.34,-76.42,287.59,2.1
454,Kuusamo,90,FI,1570318500,95,65.96,29.19,274.15,3.1
455,Westport,1,US,1570318263,47,41.14,-73.36,286.48,2.1
456,Lethem,23,GY,1570318503,49,3.38,-59.8,303.793,4.42
457,Benguela,100,AO,1570318504,90,-12.58,13.4,295.423,4.29
458,Estelle,0,FR,1570318506,63,43.97,3.47,290.15,3.6
459,Chernyshevskiy,100,RU,1570318507,98,63.01,112.47,274.653,3.62
460,Harper,1,US,1570318508,31,30.3,-99.24,306.15,2.1
461,Pachino,25,IT,1570318510,88,36.72,15.09,290.15,1.0
462,Havoysund,75,NO,1570318512,86,71.0,24.66,278.15,11.3
463,Necochea,0,AR,1570318513,92,-38.55,-58.74,280.93,1.34
464,Egvekinot,78,RU,1570318514,79,66.32,-179.17,268.623,3.45
465,Maxixe,0,MZ,1570318516,79,-23.86,35.35,294.913,3.77
466,Bosaso,0,SO,1570318517,71,11.28,49.18,302.393,2.788
467,Darnah,0,LY,1570318518,71,32.77,22.64,297.103,8.24
468,Lincoln,1,US,1570318520,32,40.8,-96.67,293.15,5.7
469,Palmas,75,BR,1570318521,94,-10.18,-48.33,296.15,1.0
470,Half Moon Bay,1,US,1570318522,21,37.46,-122.43,300.93,6.2
471,Naze,100,NG,1570318524,97,5.43,7.07,296.283,0.94
472,Vicosa,41,BR,1570318525,37,-20.75,-42.88,296.48,3.57
473,Roswell,1,US,1570318441,39,33.39,-104.52,302.59,2.1
474,Miraflores,0,PE,1570318528,50,-16.39,-71.52,286.15,4.1
475,Canoa,20,CU,1570318529,78,22.56,-79.83,299.15,3.6
476,Cap Malheureux,75,MU,1570318531,94,-19.98,57.61,295.15,2.6
477,Robstown,1,US,1570318533,62,27.79,-97.67,305.15,4.6
478,Matehuala,97,MX,1570318534,43,23.65,-100.64,295.683,2.85
479,Gorontalo,0,ID,1570318535,72,0.54,123.06,300.393,0.58
480,Pizarro,93,CO,1570318537,86,4.95,-77.37,299.053,4.358
481,Chitungwiza,0,ZW,1570318538,52,-18.01,31.07,291.15,3.6
482,Coihueco,0,CL,1570318539,58,-36.63,-71.83,286.15,3.1
483,Kysyl-Syr,100,RU,1570318541,93,63.9,122.77,270.763,5.672
484,Zaysan,0,KZ,1570318542,57,47.47,84.87,277.533,1.15
485,Launceston,40,AU,1570318543,93,-41.43,147.14,286.48,4.6
486,Bridlington,100,GB,1570318545,87,54.08,-0.19,285.37,4.6
487,Yago,40,MX,1570318546,61,21.83,-105.07,300.15,4.1
488,Yar-Sale,100,RU,1570318548,97,66.83,70.83,276.653,7.538
489,Katangli,90,RU,1570318549,60,51.71,143.23,280.033,5.14
490,Temir,0,KZ,1570318550,31,49.14,57.13,282.163,3.48
491,Nabire,94,ID,1570318552,87,-3.36,135.5,298.113,1.14
492,Zyryanka,0,RU,1570318553,60,65.73,150.89,268.783,5.74
493,Abnub,0,EG,1570318554,47,27.27,31.15,298.15,4.6
494,Brae,35,GB,1570318556,76,60.4,-1.35,283.15,10.3
495,Honningsvag,100,NO,1570318557,76,70.98,25.97,279.383,11.52
496,Armidale,25,AU,1570318559,36,-30.51,151.67,293.71,1.34
497,Khani,40,GE,1570318560,93,41.96,42.96,292.15,2.1
498,Jingdezhen,32,CN,1570318561,76,29.29,117.2,293.653,1.99
499,Kyela,13,MW,1570318562,92,-9.6,33.87,289.513,1.42
500,Port-Cartier,20,CA,1570318564,52,50.03,-66.88,280.15,4.1
501,Chimbote,76,PE,1570318565,86,-9.08,-78.59,288.863,3.514
502,Havelock,1,US,1570318477,56,34.88,-76.9,296.48,4.1
503,Palmas Bellas,40,PA,1570318568,83,9.23,-80.09,301.15,1.5
504,Garissa,3,KE,1570318569,76,-0.46,39.64,297.323,6.58
505,Anadyr,40,RU,1570318531,74,64.73,177.51,271.15,11.0
506,Praia da Vitoria,40,PT,1570318572,88,38.73,-27.07,296.15,9.71
507,Biltine,93,TD,1570318573,58,14.53,20.93,300.743,3.59
508,Galway,20,IE,1570318508,87,53.27,-9.05,285.37,5.1
509,Mtwara,25,TZ,1570318576,97,-10.28,40.18,293.673,0.78
510,Iralaya,75,HN,1570318577,79,15.0,-83.23,304.15,5.1
511,Fuling,99,CN,1570318579,94,29.71,107.39,293.483,2.27
512,Skeldon,8,GY,1570318580,85,5.88,-57.13,297.913,1.66
513,Sechura,30,PE,1570318582,86,-5.56,-80.82,290.503,7.725
514,Mangrol,0,IN,1570318555,77,25.33,76.51,296.813,0.99
515,Rayagada,48,IN,1570318585,93,19.17,83.42,292.773,0.69
516,Kahului,40,US,1570318516,55,20.89,-156.47,304.15,6.7
517,Faya,20,SA,1570318588,37,18.39,42.45,293.15,0.52
518,Sao Felix do Xingu,31,BR,1570318589,88,-6.64,-51.99,296.073,0.917
519,Moose Factory,40,CA,1570318591,61,51.26,-80.61,283.15,3.6
520,Saint-Pierre,75,FR,1570318592,100,48.95,4.24,286.48,3.6
521,Tuatapere,100,NZ,1570318593,68,-46.13,167.69,284.82,2.68
522,Santiago,74,PH,1570318523,90,16.69,121.54,297.503,0.73
523,Benton Harbor,90,US,1570318596,93,42.12,-86.45,288.71,3.1
524,Salta,75,AR,1570318437,71,-24.79,-65.41,289.15,1.0
525,Madison,90,US,1570318598,87,43.07,-89.38,286.48,7.2
526,Calvinia,0,ZA,1570318600,48,-31.47,19.78,285.013,3.432
527,Kon Tum,100,VN,1570318601,93,14.36,108.0,292.563,0.73
528,Pavilosta,100,LV,1570318603,100,56.89,21.19,274.15,5.73
529,Salamiyah,0,SY,1570318604,66,35.01,37.05,289.463,2.656
530,Port Lincoln,27,AU,1570318606,87,-34.72,135.86,287.523,7.05
531,Makubetsu,75,JP,1570318607,76,42.84,143.34,282.15,0.5
532,Athabasca,93,CA,1570318609,75,54.72,-113.29,281.243,3.69
533,Kazerun,0,IR,1570318610,30,29.62,51.65,291.113,0.39
